;_id;zip;scrapedate;Boligareal;Vgtet_areal;Grundareal;Rum_vrelser;Antal_plan;Bygger;Energimrke;Ejerudgifter_pr__md_;Pris_m_;Liggetid;Tidligere_salgspris;Udbetaling;Brutto_ekskl__ejerudgifter;Netto_ekskl__ejerudgifter;Ombygget;Klder;Prisudvikling;Boligydelse;Forbrugsafh__forhold;Teknisk_pris;pris
134;71203307;7150;12-08-2022;145;152;1140;53;2;1900;NA;1622;3914;405;NA;30000;3213;2583;NA;NA;25;NA;NA;NA;594928
135;71203432;7150;12-08-2022;83;87;1000;32;1;1960;NA;1051;7989;155;NA;35000;3740;3008;NA;NA;7;NA;NA;NA;695043
136;77603915;7755;12-08-2022;130;141;836;43;1;1973;NA;1252;4220;1108;NA;30000;2714;2283;1985;NA;NA;NA;NA;NA;595020
137;77604803;7755;12-08-2022;258;282;713;74;3;1960;NA;951;2926;154;NA;45000;4018;3293;1976;29;NA;NA;NA;NA;825132
138;77604814;7755;12-08-2022;175;184;800;43;1;1962;NA;1153;2147;177;NA;25000;2127;1704;NA;NA;28;NA;NA;NA;395048
139;77602640;7755;12-08-2022;144;149;834;54;1;1966;NA;1064;5000;2136;NA;40000;3366;2834;NA;NA;NA;NA;NA;NA;745000
140;77604347;7755;12-08-2022;118;126;700;43;1;1987;NA;1117;4683;707;NA;30000;3313;2655;NA;NA;NA;NA;NA;NA;590058
141;77101924;7755;12-08-2022;151;152;443;43;2;1908;NA;914;1941;1481;NA;25000;1378;1145;NA;NA;NA;NA;NA;NA;295032
142;77604692;7755;12-08-2022;84;83;471;44;2;1900;NA;723;3916;366;NA;25000;1754;1405;NA;NA;NA;NA;NA;NA;325028
143;77604203;7755;12-08-2022;119;126;733;54;1;1968;NA;1071;4722;535;NA;30000;2828;2346;NA;NA;NA;NA;NA;NA;594972
144;60906138;6541;12-08-2022;151;124;797;43;3;1945;NA;1137;5605;100;NA;35000;3745;2987;NA;NA;NA;NA;NA;NA;695020
145;60906063;6541;12-08-2022;114;122;1073;32;2;1930;NA;1303;5697;155;NA;35000;3745;2987;NA;NA;13;NA;NA;NA;695034
146;60906074;6541;12-08-2022;161;165;1040;75;2;1979;NA;1435;5909;153;NA;50000;5218;4163;NA;NA;NA;NA;NA;NA;974985
147;67201826;6852;12-08-2022;368;363;4308;118;2;1900;NA;2338;8810;162;NA;160000;18508;14660;2014;NA;5;NA;NA;NA;3198030
148;46804737;4632;12-08-2022;165;164;1883;53;2;1870;NA;NA;NA;NA;NA;240000;25137;20319;1976;NA;NA;NA;NA;NA;NA
