"","zip","Boligareal","Vgtet_areal","Grundareal","rum","vaer","Antal_plan","Bygger","Ejerudgifter_pr__md_","Pris_m_","Liggetid","Udbetaling","Brutto_ekskl__ejerudgifter","Netto_ekskl__ejerudgifter","Ombygget","Klder","Prisudvikling","pris","nedslag"
"1174",6520,121,147,375,5,4,2,1930,951,2891,242,25000,2286,1835,1988,0,14,424977,69182
"1175",4340,207,213,876,5,4,1,1969,2379,8897,129,95000,10035,8080,1977,0,5,1895061,99740
"1176",4340,157,198,836,5,2,3,1900,2692,13611,302,135000,14269,11481,0,90,10,2694978,299442
"1177",4340,121,123,817,5,4,1,1984,2449,20285,332,125000,14400,11382,0,0,0,2495055,0
"1178",4340,260,262,837,8,6,3,1902,3231,10668,115,140000,16071,12703,2001,4,7,2795016,210378
"1179",4340,149,205,1396,4,3,2,1951,3385,18512,326,190000,19945,16049,2021,92,24,3794960,1198408
"1180",5690,110,116,1876,4,3,1,1960,1296,7716,546,45000,4260,3529,2009,0,6,895056,57131
"1181",5690,158,161,690,4,2,1,1918,1368,12391,715,0,10544,8419,2010,0,9,1994951,197303
"1182",5690,103,190,1380,2,1,2,1953,1850,4711,431,45000,4976,3977,0,85,0,895090,0
"1183",5690,109,126,865,4,3,1,1963,1696,10278,227,65000,6907,5515,0,0,0,1295028,0
"1184",5690,202,200,1297,7,5,1,1907,1993,13250,186,135000,14358,11476,2019,0,7,2650000,199462
"1185",6270,118,144,721,5,3,2,1950,1677,6910,162,50000,5320,4272,0,72,0,995040,0
"1186",6270,197,206,556,7,4,2,1925,1944,9684,192,0,9929,8163,0,0,9,1994904,197298
"1187",6270,220,221,891,6,5,2,1987,1802,4751,112,55000,5180,4257,2006,0,0,1049971,0
"1188",4943,96,101,1185,4,3,2,1921,1266,2960,104,25000,1592,1267,0,2,13,298960,44672
"1189",4943,202,223,2170,7,5,2,1907,1641,4238,303,50000,4479,3699,1983,0,0,945074,0
"1190",4943,196,203,2576,5,4,2,1972,1740,4409,101,45000,4563,3718,0,0,0,895027,0
