"","zip","Boligareal","Vgtet_areal","Grundareal","Rum_vrelser","Antal_plan","Bygger","Ejerudgifter_pr__md_","Pris_m_","Liggetid","Udbetaling","Brutto_ekskl__ejerudgifter","Netto_ekskl__ejerudgifter","Ombygget","Klder","Prisudvikling","pris"
"134",7150,145,152,1140,53,2,1900,1622,3914,405,30000,3213,2583,0,0,25,594928
"135",7150,83,87,1000,32,1,1960,1051,7989,155,35000,3740,3008,0,0,7,695043
"136",7755,130,141,836,43,1,1973,1252,4220,1108,30000,2714,2283,1985,0,0,595020
"137",7755,258,282,713,74,3,1960,951,2926,154,45000,4018,3293,1976,29,0,825132
"138",7755,175,184,800,43,1,1962,1153,2147,177,25000,2127,1704,0,0,28,395048
"139",7755,144,149,834,54,1,1966,1064,5000,2136,40000,3366,2834,0,0,0,745000
"140",7755,118,126,700,43,1,1987,1117,4683,707,30000,3313,2655,0,0,0,590058
"141",7755,151,152,443,43,2,1908,914,1941,1481,25000,1378,1145,0,0,0,295032
"142",7755,84,83,471,44,2,1900,723,3916,366,25000,1754,1405,0,0,0,325028
"143",7755,119,126,733,54,1,1968,1071,4722,535,30000,2828,2346,0,0,0,594972
"144",6541,151,124,797,43,3,1945,1137,5605,100,35000,3745,2987,0,0,0,695020
"145",6541,114,122,1073,32,2,1930,1303,5697,155,35000,3745,2987,0,0,13,695034
"146",6541,161,165,1040,75,2,1979,1435,5909,153,50000,5218,4163,0,0,0,974985
"147",6852,368,363,4308,118,2,1900,2338,8810,162,160000,18508,14660,2014,0,5,3198030
"148",4632,165,164,1883,53,2,1870,NA,NA,0,240000,25137,20319,1976,0,0,NA
"149",4632,89,160,1254,31,1,1920,2629,14969,133,120000,11901,9840,1976,0,0,2395040
"150",4632,198,161,901,54,1,1969,2977,21708,120,175000,18586,15035,0,0,3,3494988
"151",4632,117,113,53790,64,NA,1923,2124,37611,462,215000,22409,18128,1993,0,0,4250043
"152",8850,143,248,525,54,3,1946,1494,3206,193,40000,4235,3401,0,17,9,795088
"153",8850,61,71,265,21,1,1900,768,6972,717,25000,2915,2299,2008,0,17,495012
"154",6091,208,216,298441,54,1,2000,6598,92593,161,0,105219,84611,0,0,0,20000088
"155",6091,186,NA,810,54,1,2018,3028,19328,104,180000,18972,15255,0,0,0,NA
"156",6091,170,206,725,65,3,1936,2592,19393,147,0,21074,16946,0,105,5,3994958
"157",6857,174,NA,1622,65,1,2016,3969,25000,462,220000,22944,18499,0,0,0,NA
"158",6857,150,NA,2037,32,1,2012,3286,25000,3589,190000,17048,14347,0,0,0,NA
